,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
9,Amazon Essentials Men's Regular-Fit Short-Sleeve Print Shirt,$21.80,$10.30,4.5,"11,665",https://m.media-amazon.com/images/I/91vyoqC4LyL._AC_UL320_.jpg
6,"Hanes Mens Essentials T-Shirt Pack, Crewneck Cotton T-Shirts For Men, 4 Or 6 Pack Available",$26.00,$19.55,4.4,"121,808",https://m.media-amazon.com/images/I/612OCczgZHL._AC_UL320_.jpg
3,COOFANDY Men's Linen Shirts Short Sleeve Casual Shirts Button Down Shirt for Men Beach Summer Wedding Shirt,$34.99,$29.99,4.3,"4,063",https://m.media-amazon.com/images/I/81TSrTXy8TL._AC_UL320_.jpg
10,"Russell Athletic Men's Dri-Power Cotton Blend Short Sleeve Tees, Moisture Wicking, Odor Protection, UPF 30+, Sizes S-4x",$10.99,$8.39,4.5,"34,397",https://m.media-amazon.com/images/I/71F4P1t80EL._AC_UL320_.jpg
