,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL,Product URL
10,"Hanes Men's X-Temp Performance T-Shirt Pack, Cotton Blend Moisture-Wicking Tees for Men, 2-Pack","INR 1,928.99",INR 857.14,4.3 out of 5 stars,"14,830",https://m.media-amazon.com/images/I/61ujBHjsvcL._AC_UL320_.jpg,https://www.amazon.com/Hanes-X-Temp-Performance-T-Shirt-XX-Large/dp/B00KBZTO3S/ref=sr_1_58?dib=eyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0&dib_tag=se&keywords=T-shirt&qid=1725268367&sr=8-58
11,AUTOMET Womens Tops Casual Dressy Basic T Shirts Loose Fit Crewneck Cap Sleeve Tee Summer Outfits 2024,"INR 1,508.80","INR 1,257.20",4.4 out of 5 stars,673,https://m.media-amazon.com/images/I/71w37pvtncL._AC_UL320_.jpg,https://www.amazon.com/AUTOMET-Crewneck-Vacation-Outfits-Clothing/dp/B0CYC8XHTH/ref=sr_1_59?dib=eyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0&dib_tag=se&keywords=T-shirt&qid=1725268367&sr=8-59
12,"Champion Men'S Muscle T-Shirt, Sleeveless, Muscle Tank, Classic Muscle Tee Top For Men (Reg. Or Big & Tall)","INR 1,677.38","INR 1,006.43",4.5 out of 5 stars,"21,950",https://m.media-amazon.com/images/I/71vXb8bYUwL._AC_UL320_.jpg,https://www.amazon.com/Champion-Classic-Jersey-Muscle-T-Shirt/dp/B01MRU5C83/ref=sr_1_60?dib=eyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0&dib_tag=se&keywords=T-shirt&qid=1725268367&sr=8-60
13,Hanes Men’s Short Sleeve Graphic T-shirt Collection,"INR 1,341.90",INR 834.50,4.6 out of 5 stars,"67,961",https://m.media-amazon.com/images/I/81QaUk6YldL._AC_UL320_.jpg,https://www.amazon.com/Hanes-Graphic-Tee-Humor-Thinking-XX-Large/dp/B01EKB6I00/ref=sr_1_61?dib=eyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0&dib_tag=se&keywords=T-shirt&qid=1725268367&sr=8-61
14,AUTOMET Womens Long Sleeve Round Neck Shirts Basic Tee Fall Tops Outfits Clothes 2024,"INR 2,263.62","INR 1,257.20",4.3 out of 5 stars,"5,350",https://m.media-amazon.com/images/I/71wWjUx8zdL._AC_UL320_.jpg,https://www.amazon.com/AUTOMET-Crewneck-T-Shirt-Fashion-Clothes/dp/B09DYBPSH3/ref=sr_1_62?dib=eyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0&dib_tag=se&keywords=T-shirt&qid=1725268367&sr=8-62
15,"Jerzees Men's Dri-Power Cotton Blend Long Sleeve Tees, Moisture Wicking, Odor Protection, UPF 30+, Sizes S-3x",No MRP found,INR 852.11,4.5 out of 5 stars,"60,166",https://m.media-amazon.com/images/I/71c7eRazT8S._AC_UL320_.jpg,https://www.amazon.com/Jerzees-Dri-Power-Moisture-Wicking-Protection/dp/B00T7TXS2W/ref=sr_1_63?dib=eyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0&dib_tag=se&keywords=T-shirt&qid=1725268367&sr=8-63
16,Under Armour Men's Tactical Tech T-Shirt,No MRP found,No discounted price found,4.4 out of 5 stars,"5,459",https://m.media-amazon.com/images/I/416aTTM0vZL._AC_UL320_.jpg,https://www.amazon.com/Under-Armour-Tactical-T-Shirt-XX-Large/dp/B003BW095K/ref=sr_1_64?dib=eyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0&dib_tag=se&keywords=T-shirt&qid=1725268367&sr=8-64
17,"Hanes Men’s T-Shirt Pack, Cool Dri Moisture-wicking Performance Tee, Performance Athletic T-Shirt, 2-pack","INR 2,348.33","INR 1,006.43",4.4 out of 5 stars,"18,524",https://m.media-amazon.com/images/I/61hxkBvj2fL._AC_UL320_.jpg,https://www.amazon.com/Hanes-Mens-Sport-Cool-Performance/dp/B00KQFKT3C/ref=sr_1_65?dib=eyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0&dib_tag=se&keywords=T-shirt&qid=1725268367&sr=8-65
18,Hanes mens Nano Premium Cotton T-shirt (Pack of 2),"INR 1,928.99","INR 1,341.90",4.3 out of 5 stars,"12,485",https://m.media-amazon.com/images/I/514iPSRKf9L._AC_UL320_.jpg,https://www.amazon.com/Hanes-Premium-Cotton-T-Shirt-Black/dp/B00KBZPZKY/ref=sr_1_66?dib=eyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0&dib_tag=se&keywords=T-shirt&qid=1725268367&sr=8-66
19,Fruit of the Loom Boys' Cotton White T Shirt,No MRP found,INR 921.72,4.7 out of 5 stars,"63,698",https://m.media-amazon.com/images/I/51MnHNpgyfL._AC_UL320_.jpg,https://www.amazon.com/Fruit-Loom-Boys-White-Medium/dp/B00VTV9NFM/ref=sr_1_67?dib=eyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0&dib_tag=se&keywords=T-shirt&qid=1725268367&sr=8-67
