Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL,Product URL
Skechers Women's Ghenter Bronaugh Food Service Shoe,"INR 5,457.08","INR 3,777.98",4.4 out of 5 stars,"23,978",https://m.media-amazon.com/images/I/51vFYW35+0L._AC_UL320_.jpg,https://www.amazon.com/Skechers-Womens-Ghenter-Bronaugh-Service/dp/B01N7NTCUH/ref=sr_1_20?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-20
Rockport Men's Chranson Walking Shoe,"INR 10,494.38","INR 6,380.58",4.2 out of 5 stars,"10,287",https://m.media-amazon.com/images/I/71uEkSxm-ML._AC_UL320_.jpg,https://www.amazon.com/Rockport-Chranson-Brown-Black-10-5/dp/B005UF9SW6/ref=sr_1_21?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-21
Skechers Mens Stamina Nuovo,"INR 5,624.98","INR 5,037.30",4.6 out of 5 stars,"18,836",https://m.media-amazon.com/images/I/61Z25CwqSbL._AC_UL320_.jpg,https://www.amazon.com/Skechers-Stamina-Cutback-Lace-Up-Charcoal/dp/B00A2BS4YQ/ref=sr_1_22?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-22
WHITIN Men's Wide Minimalist Barefoot Sneakers | Zero Drop Sole | Optimal Relaxation,"INR 4,196.91","INR 3,525.27",4.4 out of 5 stars,"5,818",https://m.media-amazon.com/images/I/91aCN0PkV2L._AC_UL320_.jpg,https://www.amazon.com/WHITIN-Barefoot-Weightlifting-Minimalist-Lightweight/dp/B09Z6G238T/ref=sr_1_23?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-23
Lugz Men's Lear Classic Fashion Sneaker,"INR 4,197.75","INR 2,935.91",4.4 out of 5 stars,"4,113",https://m.media-amazon.com/images/I/51SBsiIXydL._AC_UL320_.jpg,https://www.amazon.com/Lugz-Mens-Lear-Sneaker-Black/dp/B08Z7SCF8S/ref=sr_1_25?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-25
Lugz Men's Flip Sneaker,"INR 3,357.36","INR 1,434.79",4.3 out of 5 stars,"10,733",https://m.media-amazon.com/images/I/41jwG8woY8L._AC_UL320_.jpg,https://www.amazon.com/Lugz-Mens-Flip-Sneaker-White/dp/B07HQVDST5/ref=sr_1_27?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-27
Skechers men's Hands Free Slip-ins Bobs Squad Chaos-Daily Hype Sneaker,"INR 5,876.01","INR 4,617.52",4.7 out of 5 stars,586,https://m.media-amazon.com/images/I/812weMlDgzL._AC_UL320_.jpg,https://www.amazon.com/Skechers-Bobs-Squad-Chaos-Slip-Ins/dp/B0CB238GYR/ref=sr_1_28?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-28
Skechers Men's Flex Advantage Bendon Work Shoe,"INR 7,136.18","INR 4,196.91",4.4 out of 5 stars,"14,484",https://m.media-amazon.com/images/I/71HLzWRZ7UL._AC_UL320_.jpg,https://www.amazon.com/Skechers-Work-Advantage-Bendon-Black/dp/B01N2ZIDHO/ref=sr_1_29?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-29
Levi's Men's Drive Lo Sneaker,"INR 5,037.30","INR 4,616.69",4.5 out of 5 stars,437,https://m.media-amazon.com/images/I/6142OWIukjL._AC_UL320_.jpg,https://www.amazon.com/Levis-Synthetic-Leather-Lace-Up-Sneaker/dp/B0BN4MHG8L/ref=sr_1_32?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-32
New Balance Women's 608 V5 Cross Trainer,"INR 6,295.79","INR 5,876.01",4.5 out of 5 stars,"26,236",https://m.media-amazon.com/images/I/61X4RYlGjBL._AC_UL320_.jpg,https://www.amazon.com/New-Balance-Womens-Comfort-Trainer/dp/B07B41TY57/ref=sr_1_33?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-33
